service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
854,1,1,1,1,1,1,0,20131207,20131214
853,0,0,1,1,1,0,0,20131204,20131206
850,1,1,1,1,1,1,0,20131216,20140208
81,1,1,1,1,1,0,0,20131204,20131213
849,1,1,1,1,1,0,1,20131215,20140209
840,0,0,1,1,1,1,1,20131204,20131214
836,0,1,1,1,1,0,0,20131210,20131213
839,1,1,1,1,1,1,1,20131215,20140209
13,0,0,0,0,0,1,1,20131207,20131214
844,0,0,0,0,0,1,1,20131215,20140209
0,1,1,1,1,1,0,0,20131204,20131213
833,1,1,1,1,1,0,0,20131216,20140207
249,1,1,1,1,1,0,0,20131204,20131213
145,0,0,0,0,0,0,1,20131215,20140302
832,0,0,0,0,0,1,0,20131221,20140208
828,0,0,0,0,0,0,1,20131215,20140209
843,1,1,1,1,1,1,0,20131216,20140208
841,1,1,1,1,1,0,1,20131215,20140209
842,0,0,1,1,1,0,1,20131204,20131209
831,0,0,0,0,0,1,0,20131221,20140208
1,1,1,1,1,1,1,0,20131204,20131214
848,1,1,1,1,1,1,1,20131215,20140209
14,0,0,0,0,0,1,0,20131207,20131214
862,0,0,0,0,0,0,1,20131215,20140126
867,0,0,0,0,0,1,1,20140201,20140302
872,0,0,0,0,0,1,1,20131207,20140126
870,0,0,0,0,0,0,1,20131208,20140126
869,0,0,0,0,0,0,1,20140202,20140302
866,1,1,1,1,1,1,0,20131204,20131214
860,1,1,1,1,1,0,0,20140130,20140304
864,0,0,0,0,0,1,1,20140201,20140302
865,1,1,1,1,1,1,1,20131215,20140129
861,1,1,1,1,1,0,0,20131204,20140129
11,1,1,1,1,1,1,0,20131204,20131214
859,0,0,0,0,0,1,0,20131207,20131214
782,0,0,0,0,0,1,0,20140201,20140301
868,1,1,1,1,1,1,0,20131216,20140129
863,0,0,0,0,0,0,1,20140202,20140302
858,1,1,1,1,1,0,0,20131216,20140129
855,1,1,1,1,1,0,0,20140130,20140304
856,0,1,1,1,1,0,0,20140204,20140207
9,1,1,1,1,1,0,0,20131204,20131213
857,0,0,0,0,0,1,0,20131221,20140125
871,0,0,0,0,1,0,0,20131220,20131227
107,1,1,1,1,1,0,0,20131216,20140304
923,0,0,0,0,0,0,1,20131215,20140302
21,0,0,0,0,0,1,0,20131221,20140301
924,1,1,1,1,1,1,1,20131204,20140304
40,0,0,0,0,0,0,1,20131215,20140302
3,1,1,1,1,1,1,1,20131215,20140304
1509,0,0,0,0,0,0,1,20131215,20140302
55,1,1,1,1,1,0,0,20131216,20140304
1498,1,1,1,1,1,1,0,20131204,20131214
117,1,1,1,1,1,1,0,20131216,20140304
1496,1,1,1,1,1,1,0,20131204,20131214
1514,0,0,0,0,0,0,1,20131229,20140105
79,1,1,1,1,1,0,1,20131215,20140304
118,0,0,1,0,0,0,0,20131225,20140101
1507,1,1,1,1,1,1,0,20131204,20131214
25,0,0,0,0,0,1,1,20131215,20140302
1504,1,1,1,1,1,1,0,20131209,20131214
1502,0,0,1,1,1,1,0,20131204,20131207
166,0,0,0,0,0,1,0,20131207,20131214
1452,0,0,0,0,1,0,0,20131206,20131213
1511,1,1,1,1,0,0,0,20140106,20140304
1495,0,0,0,0,0,1,1,20131207,20131214
1515,0,1,0,0,1,0,0,20131220,20140103
1499,0,0,0,0,0,1,0,20131220,20140301
22,0,0,0,0,1,0,0,20131220,20140228
39,1,1,1,1,1,1,0,20131216,20140304
34,0,0,0,0,1,0,0,20131206,20131213
1516,0,0,0,0,1,0,0,20140110,20140228
1517,0,0,0,0,0,0,1,20131215,20140302
1513,1,1,1,1,0,0,0,20131204,20131212
1510,0,0,0,0,0,0,1,20131223,20140302
33,1,1,1,1,0,0,0,20131204,20131212
1235,1,1,1,1,0,0,0,20131216,20140304
1497,0,0,0,0,1,0,0,20140103,20140228
894,0,0,0,0,0,1,1,20131207,20131214
603,0,0,0,0,0,1,0,20131207,20131214
2197,1,1,1,1,0,0,0,20131216,20131219
1811,1,1,1,1,0,0,0,20131204,20131212
5831,1,1,1,1,0,0,0,20140127,20140304
5827,1,1,1,1,1,1,0,20131204,20131214
2802,1,1,1,1,1,1,0,20131204,20131214
5828,1,1,1,1,1,0,0,20131204,20131213
5829,1,1,1,1,1,0,0,20131204,20131213
211,0,0,0,0,1,0,0,20140214,20140228
213,0,0,0,0,1,0,0,20131220,20140207
1530,1,1,1,1,1,0,0,20131216,20140210
1522,1,1,1,1,1,0,0,20140211,20140304
1533,0,0,0,0,0,0,1,20140216,20140302
1534,0,0,0,0,0,0,1,20131215,20140209
1523,1,1,1,1,1,0,0,20131216,20140210
1529,1,1,1,1,0,1,0,20131216,20140210
1525,1,1,1,1,1,1,1,20131215,20140210
1524,1,1,1,1,1,1,1,20140211,20140304
1528,1,1,1,1,0,1,0,20140211,20140304
1531,0,0,0,0,0,1,0,20140215,20140301
1532,0,0,0,0,0,1,0,20131221,20140208
1535,1,1,1,1,1,0,0,20140211,20140304
1527,0,0,0,0,0,1,1,20131215,20140209
1526,0,0,0,0,0,1,1,20140215,20140302
546,0,0,0,0,0,1,0,20131221,20131228
191,1,0,0,0,0,0,0,20131216,20140303
1541,0,0,0,0,0,1,1,20131207,20131214
1506,0,0,0,0,0,1,1,20131207,20131214
827,0,0,0,0,1,0,0,20131220,20140228
1540,0,0,0,0,1,0,0,20131220,20140228
1542,0,0,0,0,0,1,0,20131221,20131228
1544,0,0,1,1,0,0,0,20131204,20131205
297,0,0,0,0,0,1,0,20131221,20140301
1552,1,1,1,1,1,1,0,20131204,20140304
1548,0,0,0,0,0,0,1,20131215,20140302
1545,1,1,1,1,1,0,0,20131206,20131213
1550,1,1,1,1,1,1,1,20131215,20140304
1556,0,0,1,1,0,0,0,20131204,20131205
1557,1,1,1,1,1,1,1,20131206,20140304
1553,1,1,1,1,1,1,1,20131204,20140304
1555,0,0,0,0,0,0,1,20131208,20140302
1551,1,1,1,1,1,1,1,20131204,20140304
1141,1,1,1,1,1,0,0,20131204,20140304
1558,0,0,0,0,0,1,1,20131207,20140302
1554,0,0,0,0,0,1,1,20131207,20140302
1549,0,0,0,0,0,1,1,20131207,20140302
1546,0,0,0,1,1,0,0,20131205,20131206
1547,1,1,1,1,1,0,0,20131204,20131213
26,0,0,0,0,1,1,0,20131220,20140301
1613,0,0,0,0,0,1,0,20131207,20131214
1562,1,1,1,1,1,0,0,20131216,20140304
1618,0,0,0,0,1,0,0,20140124,20140214
1619,0,0,0,0,0,1,1,20140120,20140302
1616,0,0,0,0,0,1,1,20131207,20131214
1637,1,1,1,1,1,1,0,20131204,20131214
187,1,1,1,1,1,1,1,20131215,20140304
1629,1,1,1,1,1,1,0,20131204,20131214
1623,0,0,0,0,0,1,1,20131207,20131214
404,1,1,1,1,1,0,0,20131204,20131213
1615,0,0,1,1,0,0,0,20131225,20131226
1640,1,1,1,1,1,0,1,20131215,20140304
220,1,1,1,1,0,0,0,20131204,20131212
1612,0,0,0,0,0,0,1,20131215,20140302
1560,0,0,0,0,0,1,1,20131207,20131214
1614,0,0,0,0,1,0,1,20131215,20140302
1584,1,1,1,1,1,1,0,20131204,20131214
1563,1,1,1,1,1,1,0,20131216,20140215
1567,1,1,1,1,1,1,0,20131204,20131214
1570,0,0,1,1,1,0,0,20140226,20140228
1568,1,1,1,1,1,1,0,20140217,20140304
1632,0,0,0,0,1,0,0,20131215,20140228
112,0,0,0,0,1,0,1,20131206,20131213
1639,1,1,1,1,0,0,0,20131216,20140304
1635,0,0,0,0,0,1,0,20131215,20140301
1634,0,0,0,0,1,0,0,20131220,20140228
1577,0,0,0,0,0,0,1,20131215,20140302
1574,1,1,1,1,1,1,0,20131216,20131221
1571,1,1,1,1,1,1,0,20140101,20140304
1461,1,1,1,1,1,0,0,20140217,20140228
1575,1,1,1,1,1,1,0,20131223,20131231
1573,1,1,1,1,1,0,0,20131204,20131213
1658,1,0,0,0,1,0,0,20131216,20140303
1657,1,0,0,0,1,0,0,20131206,20131213
1617,0,0,0,0,0,1,1,20131207,20131214
1624,1,1,1,1,1,0,1,20131215,20140304
1581,0,1,1,1,1,1,0,20140218,20140304
1578,1,1,1,1,1,1,0,20131216,20140215
1580,1,1,1,1,1,1,0,20131204,20131214
1627,0,0,0,0,0,0,1,20140216,20140302
1644,1,1,1,1,1,0,1,20140216,20140304
1649,0,0,0,0,0,1,0,20140104,20140125
1646,1,1,1,1,1,0,1,20131216,20140214
1650,0,0,0,0,1,1,1,20131206,20131214
1651,0,0,0,0,1,1,1,20131224,20140105
1652,1,0,0,0,1,1,1,20131215,20131231
820,0,0,0,0,0,1,1,20140222,20140223
1653,1,0,0,0,1,1,1,20140106,20140131
1654,1,0,0,0,1,1,1,20140201,20140216
1655,0,0,0,0,0,1,1,20140301,20140303
1593,0,0,0,0,0,1,1,20140201,20140202
1594,0,0,0,0,1,0,0,20140221,20140228
810,0,0,0,0,0,1,1,20140216,20140223
930,0,1,1,1,1,0,0,20140128,20140131
1592,1,1,1,1,1,1,1,20140203,20140215
1599,1,1,1,1,1,1,1,20131216,20140127
1601,1,1,1,1,0,0,0,20140217,20140220
1595,0,0,0,0,0,1,1,20140301,20140304
1589,1,1,1,1,1,1,0,20131204,20131214
1590,1,1,1,1,0,0,0,20140224,20140227
1662,0,0,0,0,0,1,1,20140301,20140304
1665,1,1,1,1,1,1,1,20140101,20140126
1667,0,0,0,0,0,1,1,20131207,20131214
1659,1,1,1,1,1,1,1,20131215,20131230
1025,1,1,1,1,0,0,0,20131204,20131212
1668,1,1,1,1,1,1,1,20140201,20140228
1672,1,1,1,1,1,1,1,20140101,20140228
1676,1,1,1,1,0,0,0,20131216,20131230
1679,1,1,1,1,0,0,0,20140203,20140304
1678,1,1,1,1,0,0,0,20140101,20140130
1683,0,0,0,0,1,1,1,20131206,20131214
1686,0,0,0,0,1,1,1,20131215,20131229
1688,0,0,0,0,1,1,1,20140103,20140131
1684,0,0,0,0,1,1,1,20140201,20140302
1680,0,0,0,0,1,1,1,20131215,20140302
1383,0,0,0,0,0,1,1,20140201,20140223
1700,0,0,1,1,0,1,1,20131204,20131212
1704,1,1,1,1,0,1,1,20140101,20140130
1701,1,1,1,1,0,1,1,20131215,20131230
1703,0,0,0,0,0,1,1,20140301,20140302
1689,1,1,1,1,1,1,0,20131216,20131230
1692,1,1,1,1,1,1,0,20140101,20140131
1697,1,1,0,0,0,0,0,20140301,20140304
1695,1,1,1,1,1,1,0,20140201,20140228
1706,0,0,0,0,0,0,1,20140105,20140126
887,0,0,0,0,0,0,1,20140202,20140223
1705,0,0,0,0,0,0,1,20131215,20131229
1709,0,0,0,0,1,0,0,20140103,20140131
1710,0,0,0,0,1,0,0,20140207,20140228
1725,0,0,0,0,0,1,1,20131215,20140126
1714,0,0,0,0,0,0,1,20131215,20140126
362,1,1,1,1,1,1,0,20131204,20131214
1713,1,1,1,1,1,1,0,20131216,20140131
1729,1,1,1,1,0,1,0,20131207,20131214
1728,1,1,1,1,0,1,0,20131216,20140130
1722,0,0,0,0,1,0,1,20131206,20131213
1731,0,0,0,0,1,0,1,20131215,20140131
1727,0,0,1,1,0,0,0,20131204,20131205
1717,0,0,0,0,1,1,1,20131215,20140131
1716,1,1,1,1,0,0,0,20140106,20140130
1723,0,0,0,0,1,0,1,20140106,20140131
1718,1,1,1,1,1,1,1,20131215,20140131
1730,0,0,0,0,1,0,1,20131215,20140131
1732,1,1,1,1,0,0,0,20131216,20140130
5833,0,0,0,0,1,0,1,20131215,20140228
419,1,1,1,1,1,1,0,20131204,20131214
1740,1,1,1,1,1,1,0,20131216,20140223
1742,0,0,0,0,1,0,0,20131220,20140228
1739,1,1,1,1,0,0,1,20131204,20140304
1746,0,0,0,0,1,0,1,20131206,20140302
1745,1,1,1,1,1,1,0,20131216,20140304
1738,0,0,0,0,0,1,1,20140120,20140216
1737,1,1,1,1,1,1,0,20131204,20131214
1748,0,0,0,0,0,1,1,20140301,20140304
1752,1,1,1,1,1,1,1,20140101,20140131
1750,1,1,1,1,1,1,1,20140201,20140228
1755,0,0,0,0,0,1,0,20131221,20140222
1753,0,0,0,0,0,0,1,20140105,20140223
196,0,0,0,0,0,1,0,20131221,20140301
1756,0,0,0,0,1,0,0,20131220,20131227
1757,0,0,0,0,1,0,0,20140103,20140228
1766,1,0,0,0,1,0,1,20140224,20140303
1767,0,1,1,1,0,1,0,20140225,20140304
1770,0,0,0,0,1,0,1,20140221,20140223
1771,0,0,1,0,0,1,0,20140219,20140222
1769,0,1,0,1,0,0,0,20140218,20140220
1763,1,0,0,0,1,0,1,20131215,20140216
1779,1,1,1,1,1,1,1,20140222,20140304
1776,0,0,0,0,1,0,1,20131206,20131208
1777,0,0,1,1,0,0,0,20140101,20140102
1778,1,0,0,0,1,0,0,20131209,20131213
1772,1,0,0,0,1,0,1,20131220,20140220
1784,0,0,0,0,0,0,1,20140113,20140202
1787,1,0,0,1,0,0,0,20131223,20140102
1780,0,0,0,0,1,0,0,20140110,20140202
1782,0,0,0,0,0,1,0,20140210,20140301
1789,0,0,0,0,1,0,0,20140203,20140221
1814,1,1,1,1,0,0,0,20140106,20140109
1807,1,1,1,1,0,0,0,20140113,20140130
1798,1,1,0,0,0,0,0,20140303,20140304
1815,1,0,1,1,1,0,0,20131220,20131230
884,0,0,0,0,1,0,0,20140207,20140221
1818,0,0,0,0,0,0,1,20131215,20140216
1819,0,0,0,0,1,0,0,20140124,20140131
408,0,0,0,0,1,0,0,20131206,20131213
1796,1,1,1,1,1,0,0,20131204,20131213
1791,0,0,0,0,0,0,1,20140113,20140202
1794,1,1,1,1,1,0,0,20140106,20140216
1805,0,0,0,0,0,0,1,20131215,20140126
1803,0,0,0,0,1,0,0,20140106,20140124
551,0,0,0,0,1,0,0,20131220,20140103
1801,1,0,1,1,0,0,0,20131223,20140102
1846,0,0,0,0,0,1,1,20140126,20140216
1845,0,0,0,0,1,0,0,20131220,20140221
1848,0,0,0,0,1,1,1,20131223,20140105
1829,0,0,0,0,0,0,1,20140126,20140216
1828,0,0,0,0,0,0,1,20131215,20140119
1843,1,1,1,1,1,1,0,20131207,20131214
1850,1,1,1,1,0,0,0,20131204,20131212
1842,0,0,1,1,1,0,0,20131204,20131206
1505,1,1,1,1,1,0,0,20131209,20131213
1830,0,0,1,1,1,0,0,20131204,20131206
1852,1,1,1,1,0,0,0,20140217,20140220
1851,1,1,1,1,0,0,0,20131216,20140213
1840,1,1,1,1,1,0,0,20131216,20140207
1841,0,0,0,0,0,1,0,20131221,20140215
1834,1,1,1,1,1,0,0,20140217,20140221
1832,1,1,1,1,1,0,0,20131216,20140214
1831,1,1,1,1,1,0,0,20140217,20140221
1833,1,1,1,1,1,1,0,20131216,20140215
1835,1,1,1,1,1,1,1,20131215,20140302
1836,0,0,0,0,1,0,0,20140106,20140131
1838,0,0,0,0,0,1,0,20131221,20131228
1837,0,0,0,0,0,1,0,20140104,20140201
1853,0,0,0,0,1,0,1,20131220,20140302
1854,0,0,0,0,1,0,0,20131206,20131213
1858,1,1,1,1,1,1,0,20131204,20131214
1856,0,1,1,1,1,1,1,20140204,20140214
1863,1,1,1,1,1,1,1,20131215,20140228
1855,1,1,1,1,1,1,0,20131204,20131214
1861,0,0,1,1,1,1,1,20140101,20140105
1405,0,0,0,0,0,1,1,20140301,20140302
1867,0,0,0,0,1,1,1,20140203,20140228
1890,1,0,0,0,0,1,1,20131215,20140224
1901,1,1,1,1,1,1,1,20140216,20140228
1899,1,1,1,1,1,1,1,20131215,20140105
1900,1,1,1,1,1,1,0,20131204,20131214
1875,1,1,1,1,1,1,0,20131204,20131214
1876,1,1,1,1,1,1,1,20140210,20140304
1872,0,0,0,0,1,0,1,20140110,20140131
1871,1,1,1,1,0,0,0,20131216,20140213
1869,1,1,1,1,1,1,0,20131204,20131214
1870,1,1,1,1,0,0,0,20140217,20140227
1874,0,0,0,0,1,0,1,20140217,20140302
1873,0,0,0,0,1,0,1,20140207,20140214
1859,1,1,1,1,1,1,1,20131215,20140304
1865,1,1,1,1,1,1,1,20131215,20140202
1886,1,1,1,1,1,1,0,20131204,20131214
1897,1,1,1,1,1,1,1,20131215,20140304
1904,1,1,1,1,1,1,1,20131215,20140105
1895,0,1,1,1,1,0,0,20140218,20140228
1893,0,1,1,1,1,0,0,20131217,20140214
1888,1,1,1,1,1,1,0,20131204,20131214
1889,1,1,1,1,1,1,1,20131215,20140302
1887,1,1,1,1,1,1,1,20131215,20140105
1878,1,1,1,0,0,0,0,20131204,20131211
1880,1,1,1,1,0,0,0,20131216,20140130
1879,0,0,0,1,0,0,0,20131205,20131212
1884,0,0,0,0,1,0,0,20131220,20140202
1883,1,1,1,1,0,0,0,20140203,20140227
1816,1,0,1,1,0,0,0,20131223,20131230
1911,0,0,0,0,1,0,0,20140113,20140131
932,1,1,1,1,0,0,0,20140203,20140227
1914,0,1,1,1,0,0,0,20131204,20131212
1903,0,0,0,0,1,0,1,20131215,20140228
1902,0,0,0,0,1,0,1,20131206,20131213
1905,0,0,0,0,0,0,1,20140113,20140222
1908,0,0,0,0,1,0,0,20140110,20140117
1909,1,0,1,1,1,0,0,20131220,20140103
2689,0,0,0,0,1,0,1,20131215,20131222
8300,1,1,1,1,0,0,0,20131216,20140105
2694,1,0,1,1,1,1,1,20131215,20131230
2698,0,0,0,0,1,1,0,20131206,20131213
2704,0,0,0,0,0,1,1,20131207,20131208
2706,0,0,0,0,1,1,0,20131206,20131213
2725,1,1,1,0,0,0,0,20131216,20131218
257,0,0,0,0,0,0,1,20131222,20131229
2735,1,1,1,1,0,0,0,20140203,20140220
2737,0,0,0,0,0,1,0,20140103,20140118
2734,1,1,1,1,0,0,0,20140106,20140130
2738,0,0,0,0,0,1,0,20140104,20140222
2740,0,0,0,0,0,0,1,20140105,20140216
777,0,0,0,0,1,0,0,20140214,20140221
2719,0,0,0,1,1,0,0,20131226,20140103
2720,0,0,0,1,1,0,0,20140109,20140116
2723,1,1,1,0,0,0,0,20140106,20140129
2710,0,0,0,1,1,0,0,20140206,20140221
2715,0,0,0,1,1,0,0,20131219,20131220
2717,0,0,0,1,1,0,0,20140123,20140131
2729,1,1,1,0,0,0,0,20131209,20131211
2709,0,0,0,1,1,1,0,20131205,20131214
808,0,0,0,0,0,1,0,20140222,20140301
2679,0,0,0,0,1,0,0,20131227,20140103
2754,0,0,0,0,1,0,0,20140221,20140301
2753,0,0,0,0,1,0,0,20131220,20140103
2745,1,1,1,1,0,0,0,20131219,20140220
2743,0,0,0,0,0,0,1,20131222,20140302
2746,0,0,0,0,0,0,1,20131222,20140216
806,0,0,0,0,0,1,0,20140215,20140222
2744,1,1,1,0,0,0,0,20131223,20140219
2759,0,1,1,1,1,0,0,20140225,20140304
2761,1,1,0,0,0,0,0,20140203,20140204
2768,1,1,1,1,1,0,0,20140203,20140224
2767,1,1,1,1,1,0,0,20140121,20140131
2781,1,1,1,1,1,0,0,20140203,20140304
2789,0,0,0,0,0,1,1,20140125,20140202
2776,0,0,0,0,0,1,1,20131207,20131214
2687,1,1,1,1,1,0,0,20140120,20140131
2779,0,0,0,0,0,1,1,20140201,20140209
2777,0,0,0,0,0,1,1,20140125,20140126
2778,0,0,0,0,0,1,1,20140210,20140302
2790,0,0,0,0,1,1,0,20131206,20140202
2787,0,0,0,0,0,0,1,20131208,20140302
2765,0,0,0,0,0,1,0,20131207,20140301
2784,0,0,0,0,1,0,0,20140106,20140119
2688,1,1,1,1,0,0,0,20140120,20140130
2791,1,1,0,1,0,0,0,20131223,20140105
2785,1,1,1,1,0,0,0,20131204,20131222
2792,0,0,0,0,0,1,1,20140208,20140209
2758,1,1,1,1,1,0,0,20140203,20140304
2757,1,1,1,1,1,0,0,20140120,20140204
2786,0,0,0,0,0,0,1,20140126,20140202
2793,0,0,0,0,0,1,1,20131207,20140302
2763,0,0,0,0,0,1,0,20131221,20140301
2764,1,1,1,1,1,0,1,20131204,20140304
2760,1,1,1,1,1,0,0,20131216,20140224
2762,0,0,0,0,0,1,0,20140125,20140208
2773,1,1,1,1,0,0,0,20140210,20140304
2775,0,0,0,0,1,1,0,20140210,20140301
2774,0,0,0,0,1,0,0,20140117,20140131
2769,1,1,1,1,0,0,0,20140203,20140206
2770,0,0,0,0,1,1,0,20131206,20131214
2772,0,0,0,0,0,1,0,20140201,20140208
2771,1,1,1,1,0,0,0,20140113,20140130
1913,0,0,0,0,1,0,0,20140117,20140131
2783,1,1,1,1,0,0,0,20140210,20140224
2518,0,1,1,1,0,0,0,20140225,20140304
2782,0,1,0,0,1,0,0,20131220,20140105
2788,0,0,0,0,1,0,0,20140210,20140228
2840,0,0,0,0,0,0,1,20131208,20140216
2830,1,1,1,1,1,1,1,20131204,20140202
2821,1,1,1,1,1,1,1,20140217,20140304
2817,1,1,1,1,1,1,0,20140217,20140304
2818,1,1,1,1,1,1,0,20131207,20140202
2833,1,1,1,1,1,0,1,20140217,20140304
2834,1,1,1,1,1,0,0,20131204,20131213
1087,0,0,0,0,0,0,1,20140202,20140209
2835,1,1,1,1,1,0,1,20131215,20140202
2822,1,1,1,1,1,1,1,20131204,20140119
2826,0,0,0,0,0,0,1,20131215,20140216
2810,1,1,1,1,1,1,1,20140217,20140224
2812,0,0,0,0,0,1,0,20140222,20140301
2842,1,1,1,1,1,1,1,20131215,20140216
1417,0,1,1,1,1,1,1,20140225,20140304
2798,0,1,1,1,1,0,0,20140121,20140131
2800,0,1,1,1,1,0,0,20131204,20131222
2811,0,0,0,0,0,1,0,20131207,20140215
2797,0,1,1,1,1,0,0,20140218,20140304
2815,1,1,1,1,1,1,1,20140217,20140304
2841,1,1,1,1,1,1,1,20140120,20140209
2816,1,1,1,1,1,1,1,20131204,20140202
2807,1,1,1,1,1,0,0,20131204,20131222
2806,1,1,1,1,1,0,0,20140217,20140228
2805,1,1,0,0,0,0,0,20140303,20140304
2795,1,0,0,0,0,0,0,20140120,20140127
2794,1,0,0,0,0,0,0,20140217,20140303
2796,1,0,0,0,0,0,0,20131209,20140210
2819,0,0,0,0,1,0,0,20131206,20140214
2825,1,1,1,1,1,0,0,20140217,20140224
2828,1,1,1,1,1,0,0,20131204,20140214
2804,1,1,1,1,1,1,0,20140217,20140224
2808,1,1,1,1,1,1,1,20131215,20140216
2839,1,1,1,1,0,1,1,20140217,20140224
2838,1,1,1,1,0,1,1,20131204,20140216
2801,0,1,1,1,1,1,0,20140225,20140304
2813,1,1,1,1,1,1,1,20131204,20140216
2832,0,0,0,0,0,0,1,20131208,20140216
2803,1,1,1,1,1,1,0,20131216,20140215
2837,0,1,1,1,0,1,1,20140225,20140304
2824,1,1,1,1,1,0,0,20131216,20140214
