service_id,date,exception_type
850,20131224,2
850,20131225,2
850,20131231,2
850,20140101,2
81,20131208,1
840,20131209,1
840,20131211,2
840,20131212,2
840,20131213,2
839,20140203,2
839,20140204,2
839,20140205,2
839,20140206,2
839,20140207,2
839,20140201,2
839,20140202,2
844,20131225,1
844,20140101,1
833,20131225,2
833,20140101,2
29,20131208,1
145,20131225,1
145,20140101,1
828,20131225,1
828,20140101,1
843,20131225,2
843,20140101,2
841,20131225,2
841,20140101,2
842,20131209,1
847,20140117,1
1,20131208,1
848,20140117,2
862,20131225,1
862,20140101,1
872,20131225,1
872,20140101,1
870,20131225,1
870,20140101,1
866,20131208,1
864,20140209,2
861,20131225,2
861,20140101,2
868,20131225,2
868,20140101,2
863,20140209,2
858,20131225,2
858,20140101,2
855,20140204,2
855,20140205,2
855,20140206,2
855,20140207,2
107,20131225,2
107,20140101,2
923,20131225,1
923,20140101,1
923,20140209,2
1509,20140202,2
1508,20140202,1
1500,20131208,1
117,20131225,2
117,20140101,2
1496,20131208,1
1507,20131208,1
1499,20131227,1
1499,20131220,1
1518,20131213,1
1519,20131208,1
284,20131206,1
357,20131220,1
1517,20131227,1
1517,20140103,1
1513,20131208,1
1510,20131217,1
1510,20131218,1
1510,20131223,1
1510,20131226,1
1510,20131230,1
1510,20140102,1
1235,20131225,2
1235,20140101,2
5831,20131223,1
5831,20131226,1
5831,20131230,1
5831,20140102,1
5827,20131208,1
5828,20131208,1
106,20131208,1
1523,20131225,2
1523,20140101,2
110,20131209,1
827,20131224,1
827,20131231,1
1540,20131228,1
1540,20131221,1
1552,20131225,2
1552,20140101,2
1548,20131225,1
1548,20140101,1
1548,20140112,2
1548,20140209,2
1555,20131225,1
1555,20140101,1
1141,20131225,2
1141,20140101,2
1558,20131225,1
1558,20140101,1
1558,20140111,2
1558,20140208,2
1026,20131213,1
1554,20131225,1
1554,20140101,1
1549,20131225,1
1549,20140101,1
1547,20131205,2
1547,20131206,2
467,20140101,1
130,20131225,1
1603,20140221,1
1619,20131215,1
1619,20131220,1
1619,20131221,1
1619,20131222,1
1619,20131227,1
1619,20131228,1
1619,20131229,1
1619,20140103,1
1619,20140104,1
1619,20140105,1
1619,20140110,1
1619,20140111,1
1619,20140112,1
1619,20140117,1
1619,20140118,1
1619,20140119,1
1604,20140228,1
1637,20131208,1
1585,20140101,1
1585,20140102,1
1585,20131226,1
1585,20140301,1
1576,20131208,1
1640,20140214,2
1640,20140221,2
220,20131208,1
319,20131224,1
769,20131221,1
1614,20140214,2
1614,20140221,2
1614,20140228,2
1584,20131208,1
1568,20140226,2
1568,20140227,2
1568,20140228,2
1632,20131222,1
1632,20131229,1
1632,20140105,1
1632,20140112,1
1632,20131215,1
1635,20131222,1
1635,20131229,1
1635,20140105,1
1635,20140112,1
1635,20131215,1
1571,20140217,2
1571,20140218,2
1571,20140219,2
1571,20140220,2
1571,20140221,2
1571,20140224,2
1571,20140225,2
1571,20140226,2
1571,20140227,2
1571,20140228,2
1459,20131214,1
1573,20131207,1
1658,20131224,1
1658,20131231,1
1658,20140217,2
1658,20140221,2
1658,20140224,2
1658,20140228,2
354,20131208,1
477,20140201,1
1578,20140120,2
1578,20140127,2
1578,20140203,2
1578,20140210,2
223,20131215,1
1646,20140201,1
1648,20131207,1
36,20131214,1
1650,20131209,1
1651,20131224,1
1651,20131227,2
1651,20131228,2
1651,20131229,2
1652,20131231,1
1655,20140303,1
1595,20140303,1
1595,20140304,1
1589,20131208,1
1662,20140303,1
1662,20140304,1
1664,20140127,1
1667,20131213,1
1659,20131224,2
1025,20131206,1
1661,20140203,1
1668,20140203,2
1670,20131216,1
1670,20131217,1
1670,20131218,1
1670,20131219,1
1670,20131220,1
1670,20131221,1
1670,20131222,1
1670,20131223,1
1670,20131225,1
1670,20131226,1
1670,20131227,1
1670,20131228,1
1670,20131229,1
1670,20140301,1
1670,20140302,1
1670,20131230,1
1670,20131215,1
1670,20140303,1
1670,20140304,1
1676,20131224,2
1700,20131209,1
1700,20131210,1
1701,20131224,2
1689,20131224,2
1697,20140301,1
1707,20140302,1
1708,20131206,1
1725,20131225,1
1725,20140101,1
1714,20131225,1
1714,20140101,1
1715,20140102,1
362,20131208,1
1713,20131225,2
1713,20140101,2
1713,20140102,2
1731,20131225,1
1731,20140101,1
1721,20140126,1
1717,20131225,1
1717,20140101,1
102,20131216,1
1716,20131218,1
1716,20131217,1
1716,20131219,1
1716,20131223,1
1716,20131224,1
1716,20131226,1
1716,20131230,1
1716,20131231,1
1716,20140102,1
1723,20131215,1
1723,20131220,1
1723,20131222,1
1723,20131225,1
1723,20131227,1
1723,20131229,1
1723,20140101,1
1723,20140103,1
1723,20140105,1
1723,20140126,2
1732,20131225,2
1732,20140101,2
5833,20140202,2
5833,20140209,2
5833,20140216,2
5833,20140223,2
1740,20140303,1
1740,20140304,1
1740,20140224,2
1740,20140225,2
1740,20140227,2
1740,20131225,2
1740,20140101,2
1742,20131224,1
1742,20131231,1
1739,20131224,2
1739,20131231,2
1746,20131224,1
1746,20131225,1
1746,20131231,1
1746,20140101,1
1745,20140224,2
1745,20140225,2
1745,20131225,2
1745,20140101,2
1745,20140303,2
1738,20140301,1
1738,20140302,1
1738,20131215,1
1738,20131216,1
1738,20131217,1
1738,20131218,1
1738,20131219,1
1738,20131220,1
1738,20131221,1
1738,20131222,1
1738,20131223,1
1738,20131224,1
1738,20131225,1
1738,20131226,1
1738,20131227,1
1738,20131228,1
1738,20131229,1
1738,20131230,1
1738,20131231,1
1738,20140101,1
1738,20140103,1
1738,20140104,1
1738,20140105,1
1738,20140110,1
1738,20140111,1
1738,20140112,1
1738,20140117,1
1738,20140118,1
1738,20140119,1
1738,20140102,2
1737,20131208,1
1748,20140303,1
1748,20140304,1
70,20140301,1
1759,20131213,1
438,20131209,1
1768,20140217,1
1760,20131226,1
1760,20131228,1
1760,20140102,1
1760,20140104,1
1760,20131221,1
1760,20140215,1
1772,20131228,1
1772,20140104,1
1772,20140215,1
1772,20131221,1
1772,20140218,1
1772,20140219,1
1772,20140220,1
1784,20131215,1
1784,20131222,1
1784,20131225,1
1784,20131229,1
1784,20140101,1
1784,20140105,1
183,20131208,1
1780,20140216,1
1780,20140214,2
1782,20131221,1
1782,20131228,1
1782,20140104,1
1783,20131206,1
1789,20131220,1
1789,20131227,1
1789,20140103,1
1807,20131216,1
1807,20131217,1
1807,20131218,1
1807,20131219,1
1817,20140110,1
1813,20140215,1
1813,20140222,1
1813,20140104,1
1813,20140301,1
1818,20140112,2
1818,20140209,2
69,20140301,1
1790,20131228,1
1790,20140104,1
1790,20140215,1
1790,20131221,1
1790,20140222,1
1791,20140203,1
1791,20140204,1
1791,20140205,1
1791,20140206,1
1791,20140207,1
1791,20140210,1
1791,20140211,1
1791,20140212,1
1791,20140213,1
1791,20140214,1
1791,20140217,1
1791,20140218,1
1791,20140219,1
1791,20140220,1
1791,20140221,1
1791,20140224,1
1791,20140225,1
1791,20140226,1
1791,20140227,1
1791,20131217,1
1791,20131215,1
1791,20131216,1
1791,20131218,1
