trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN001944F0200923658,18:07:00,18:07:00,StopPoint:OCECorail Intercité-87184002,0,"",0,0,
OCESN001944F0200923658,18:27:00,18:28:00,StopPoint:OCECorail Intercité-87185249,1,"",0,0,
OCESN001944F0200923658,18:44:00,18:46:00,StopPoint:OCECorail Intercité-87185009,2,"",0,0,
OCESN001944F0200923658,19:25:00,19:27:00,StopPoint:OCECorail Intercité-87142125,3,"",0,0,
OCESN001944F0200923658,19:53:00,19:55:00,StopPoint:OCECorail Intercité-87142000,4,"",0,0,
OCESN001944F0200923658,20:40:00,20:42:00,StopPoint:OCECorail Intercité-87118000,5,"",0,0,
OCESN001944F0200923658,22:16:00,22:16:00,StopPoint:OCECorail Intercité-87113001,6,"",0,0,
OCESN001944F0200823657,18:07:00,18:07:00,StopPoint:OCECorail Intercité-87184002,0,"",0,0,
OCESN001944F0200823657,18:27:00,18:28:00,StopPoint:OCECorail Intercité-87185249,1,"",0,0,
OCESN001944F0200823657,18:44:00,18:46:00,StopPoint:OCECorail Intercité-87185009,2,"",0,0,
OCESN001944F0200823657,19:25:00,19:27:00,StopPoint:OCECorail Intercité-87142125,3,"",0,0,
OCESN001944F0200823657,19:53:00,19:55:00,StopPoint:OCECorail Intercité-87142000,4,"",0,0,
OCESN001944F0200823657,20:40:00,20:42:00,StopPoint:OCECorail Intercité-87118000,5,"",0,0,
OCESN001944F0200823657,22:18:00,22:18:00,StopPoint:OCECorail Intercité-87113001,6,"",0,0,
OCESN001944F0200423654,18:06:00,18:06:00,StopPoint:OCECorail Intercité-87184002,0,"",0,0,
OCESN001944F0200423654,18:27:00,18:28:00,StopPoint:OCECorail Intercité-87185249,1,"",0,0,
OCESN001944F0200423654,18:45:00,18:47:00,StopPoint:OCECorail Intercité-87185009,2,"",0,0,
OCESN001944F0200423654,19:26:00,19:28:00,StopPoint:OCECorail Intercité-87142125,3,"",0,0,
OCESN001944F0200423654,19:54:00,19:56:00,StopPoint:OCECorail Intercité-87142000,4,"",0,0,
OCESN001944F0200423654,20:40:00,20:42:00,StopPoint:OCECorail Intercité-87118000,5,"",0,0,
OCESN001944F0200423654,22:16:00,22:16:00,StopPoint:OCECorail Intercité-87113001,6,"",0,0,
OCESN001848F0100523651,16:50:00,16:50:00,StopPoint:OCECorail Intercité-87184002,0,"",0,0,
OCESN001848F0100523651,17:10:00,17:11:00,StopPoint:OCECorail Intercité-87185249,1,"",0,0,
OCESN001848F0100523651,17:27:00,17:29:00,StopPoint:OCECorail Intercité-87185009,2,"",0,0,
OCESN001848F0100523651,18:30:00,18:32:00,StopPoint:OCECorail Intercité-87142000,3,"",0,0,
OCESN001848F0100523651,19:18:00,19:20:00,StopPoint:OCECorail Intercité-87118000,4,"",0,0,
OCESN001848F0100523651,20:46:00,20:46:00,StopPoint:OCECorail Intercité-87113001,5,"",0,0,
OCESN001848F0100423650,16:48:00,16:48:00,StopPoint:OCECorail Intercité-87184002,0,"",0,0,
OCESN001848F0100423650,17:08:00,17:09:00,StopPoint:OCECorail Intercité-87185249,1,"",0,0,
OCESN001848F0100423650,17:27:00,17:29:00,StopPoint:OCECorail Intercité-87185009,2,"",0,0,
OCESN001848F0100423650,18:31:00,18:33:00,StopPoint:OCECorail Intercité-87142000,3,"",0,0,
OCESN001848F0100423650,19:18:00,19:20:00,StopPoint:OCECorail Intercité-87118000,4,"",0,0,
OCESN001848F0100423650,20:46:00,20:46:00,StopPoint:OCECorail Intercité-87113001,5,"",0,0,
OCESN001742F0201123633,08:20:00,08:20:00,StopPoint:OCECorail Intercité-87184002,0,"",0,0,
OCESN001742F0201123633,08:41:00,08:42:00,StopPoint:OCECorail Intercité-87185249,1,"",0,0,
OCESN001742F0201123633,09:00:00,09:02:00,StopPoint:OCECorail Intercité-87185009,2,"",0,0,
OCESN001742F0201123633,10:00:00,10:02:00,StopPoint:OCECorail Intercité-87142000,3,"",0,0,
OCESN001742F0201123633,10:48:00,10:50:00,StopPoint:OCECorail Intercité-87118000,4,"",0,0,
OCESN001742F0201123633,12:16:00,12:16:00,StopPoint:OCECorail Intercité-87113001,5,"",0,0,
OCESN001742F0200923632,08:20:00,08:20:00,StopPoint:OCECorail Intercité-87184002,0,"",0,0,
OCESN001742F0200923632,08:41:00,08:42:00,StopPoint:OCECorail Intercité-87185249,1,"",0,0,
OCESN001742F0200923632,09:00:00,09:02:00,StopPoint:OCECorail Intercité-87185009,2,"",0,0,
OCESN001742F0200923632,10:00:00,10:02:00,StopPoint:OCECorail Intercité-87142000,3,"",0,0,
OCESN001742F0200923632,10:48:00,10:50:00,StopPoint:OCECorail Intercité-87118000,4,"",0,0,
OCESN001742F0200923632,12:22:00,12:22:00,StopPoint:OCECorail Intercité-87113001,5,"",0,0,
OCESN001742F0200623631,08:20:00,08:20:00,StopPoint:OCECorail Intercité-87184002,0,"",0,0,
OCESN001742F0200623631,08:41:00,08:42:00,StopPoint:OCECorail Intercité-87185249,1,"",0,0,
OCESN001742F0200623631,09:00:00,09:02:00,StopPoint:OCECorail Intercité-87185009,2,"",0,0,
OCESN001742F0200623631,10:01:00,10:03:00,StopPoint:OCECorail Intercité-87142000,3,"",0,0,
OCESN001742F0200623631,10:48:00,10:50:00,StopPoint:OCECorail Intercité-87118000,4,"",0,0,
OCESN001742F0200623631,12:16:00,12:16:00,StopPoint:OCECorail Intercité-87113001,5,"",0,0,
